place_id,neighborhood,fire_incidents
ChIJbUeFn1DxNIgRb6LHmi3H2zE,Downtown,45
ChIJIQEzxDjxNIgRJm65XjBjXsA,Allentown,71
ChIJTV6FuofxNIgRnxnw7JRHYCs,Downtown,38
ChIJuxAlNFHxNIgR4kI1EDAKexg,Downtown,68
ChIJi43421bxNIgRNnTCIKWZxi8,Downtown,93
ChIJ73N-3lDxNIgRUzUPEX1E2-A,Downtown,40
ChIJJ1RKHFHxNIgRpVIPCvW5ZIs,Downtown,40
ChIJ6XpPWDvxNIgRy_iCBCIKULs,Downtown,59
ChIJi_tCb1rxNIgRpCJk0phr6Hk,Downtown,44
ChIJo1_OeVrxNIgRBzYzhDgFDUs,Downtown,44
ChIJpbLpKfDxNIgR13yY0Fj4pjk,Downtown,57
ChIJy8kvq17xNIgRh6cfPc53b3g,Uptown,22
ChIJtXxPKjrxNIgRq5eY7Y0jNpk,Downtown,54
ChIJP0u4k-HxNIgRpuycPjn19k8,South Side Flats,12
ChIJO1CPWlHxNIgR-qYYdSPvOPU,Downtown,78
ChIJw-nExTjxNIgRxv_bo1Oofp4,Allentown,71
ChIJV0iQSDjxNIgRzGYFE9hqmpQ,Allentown,81
ChIJwVp98DjxNIgRXUNgcwCduIk,Allentown,77
ChIJz-V3hvrzNIgRnEmbGkha4AE,South Side Slopes,17
ChIJUcZs5GnxNIgRDlz3mm9blf8,South Side Flats,39
ChIJjxOdCELxNIgREF2hytDWW6w,South Side Flats,42
ChIJe1ws7mnxNIgRO0liAjIzxa0,South Side Flats,44
ChIJA8Cr32vxNIgRTtKdJVxfpH8,South Side Flats,41
ChIJQ4EHnmnxNIgRga05PiZw2jk,South Side Flats,49
ChIJaTTi3hXxNIgRB4gYqFZVmWU,South Side Flats,47
ChIJd-vid9vxNIgRMVnwpRrgj6g,Allentown,80
ChIJb2a-1drxNIgR6frl-1OAOyI,South Side Flats,40
ChIJVUk52SDxNIgRYxrLC7R4pIs,Carrick,26
ChIJ828bGiPxNIgR0SR1tTIcUbs,Knoxville,32
ChIJ0fRwkm7xNIgR4aK-gr_V2RY,South Side Flats,57
ChIJX9isi27xNIgRWY6b4OmCnQY,South Side Flats,54
ChIJFS5dgnbxNIgRsl0CMLInqOI,South Side Flats,15
ChIJgzGA2snzNIgR59oa3k5YAL4,South Side Flats,46
ChIJu8_ZdWnxNIgR8N1ozNLZCRY,South Side Flats,49
ChIJR-aD_lzxNIgRSD7XXZLNgY8,Mount Oliver,8
ChIJW_6TiQT0NIgRg7tUbgG1dKM,South Side Flats,57
ChIJPQBa7mnxNIgRrZuzs6OPCuc,South Side Flats,41
ChIJiRQnssLwNIgR1tRZcU51tks,Carrick,50
ChIJcWRRYMXwNIgRPVKPEUEB2Cg,Overbrook,9
ChIJ55ZDhCDxNIgR_psxm9MMqZw,Carrick,31
ChIJvXzHpsLwNIgR2sPrq8hj4bs,Carrick,48
ChIJPX3HpsLwNIgR7_u605fuHUY,Carrick,41
