place_id,name,latitude,longitude,formatted_address,street_number,route,neighborhood,postal_code,curbside_pickup,price_level,rating,user_ratings_total,sun_open,sun_close,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close
ChIJQWJcZ0vxNIgR4EY0p31x-BU,J & J's Family Restaurant & Catering,40.4292989,-80.00748519999999,"300 Shiloh St, Pittsburgh, PA 15211, USA",300,Shiloh Street,Mount Washington,15211,True,1,4.6,539,0800,1600,0800,1700,0800,1700,0800,1600,0800,1600,0800,1600,0800,1600
ChIJKcgUmvfzNIgRBLShl8PA9U8,El Burro,40.4559021,-80.0065765,"1108 Federal St, Pittsburgh, PA 15212, USA",1108,Federal Street,Central Northside,15212,,1,4.2,679,1100,2100,1130,2100,1130,2100,1130,2100,1130,2100,1130,2100,1100,2100
ChIJrU-zYQT0NIgRDOEgCd7HCKk,Giorgio's Place,40.4519852,-80.0170299,"908 Western Ave, Pittsburgh, PA 15233, USA",908,Western Avenue,Allegheny-West,15233,,1,4.5,465,,,0930,2130,0930,2130,0930,2130,0930,2130,0930,2130,1100,2130
ChIJje1fLV3zNIgRPJ7_uwJbcxI,Taps and Taco,40.4479426,-80.00439159999999,"115 Federal St, Pittsburgh, PA 15212, USA",115,Federal Street,North Shore,15212,,,3.9,72,,,,,,,1100,1800,1100,1800,1100,2000,1100,2000
ChIJxTDgjgT0NIgRewoOyzRCUxE,Peppi's,40.4516667,-80.0175,"927 Western Ave, Pittsburgh, PA 15233, USA",927,Western Avenue,Allegheny-West,15233,,1,4.7,1310,,,1030,1900,1030,2000,1030,2000,1030,2000,1030,2000,1030,1700
ChIJe02f2ln0NIgRuSKZiAt1vyg,Miller's Seafood House,40.4851621,-80.0418933,"3853 California Ave, Pittsburgh, PA 15212, USA",3853,California Avenue,Brighton Heights,15212,,2,3.9,308,1100,0200,1100,0200,1100,0200,1100,0200,1100,0200,1100,0200,1100,0200
ChIJ61FkY1r0NIgRII7jzrAhpqM,Pops & Son Pizzeria,40.4809807,-80.0414764,"3627 California Ave, Pittsburgh, PA 15212, USA",3627,California Avenue,Brighton Heights,15212,,1,3.4,206,,,1600,2230,1600,2230,1100,2230,1100,2230,1100,2230,1100,2230
ChIJNcn3HWj0NIgRSw7-siX98oE,Wiseguys Pizza,40.4763889,-80.03111109999999,"1223 Woods Run Ave, Pittsburgh, PA 15212, USA",1223,Woods Run Avenue,Brighton Heights,15212,,1,4,256,1500,2100,1100,2200,1100,2200,1100,2200,1100,2200,1100,2300,1200,2300
ChIJDYClFV71NIgRhvMb_CtJ2L4,Ida's Sandwich Shop,40.4903388,-80.0188202,"3921 Perrysville Ave, Pittsburgh, PA 15214, USA",3921,Perrysville Avenue,Perry North,15214,,,4.9,43,0800,1500,,,0700,1700,0700,1700,0700,1700,0700,1700,0800,1500
ChIJHWATNfDzNIgRDHPJXMN4wFw,Huszar,40.4567312,-79.9988965,"627 E North Ave #4844, Pittsburgh, PA 15212, USA",627,East North Avenue,East Allegheny,15212,,2,4.6,435,1200,1900,,,1200,2000,1200,2000,1200,2000,1200,2000,1200,2000
ChIJm-T3ZwT0NIgRXhIHSZHyBB0,Modern Cafe,40.4521506,-80.0164403,"862 Western Ave, Pittsburgh, PA 15233, USA",862,Western Avenue,Allegheny-West,15233,,1,4.5,405,,,1100,2300,1100,2300,1100,0030,1100,0030,1100,0130,1030,0130
