place_id,name,business_status,formatted_address,latitude,longitude,price_level,rating,user_ratings_total
ChIJ4ws4DVbxNIgRfdiGwIuzWB4,Alihan's Mediterranean Cuisine,OPERATIONAL,"124 6th St, Pittsburgh, PA 15222",40.4432423,-80.0025689,2,4.3,688
ChIJX5GVBIL1NIgRykfo3j2bR_Q,mian,OPERATIONAL,"777 Casino Dr, Pittsburgh, PA 15212",40.4478837,-80.0221627,,3,9
ChIJ90_BBVbxNIgRMNH1vKBRHmc,Christos Mediterranean Grille,OPERATIONAL,"130 6th St, Pittsburgh, PA 15222",40.4432121,-80.0025138,2,4.4,400
ChIJhxsVUjH1NIgRNfLs1waTrkc,Kay & Diane’s 1910 Room,OPERATIONAL,"1910 Manhattan St, Pittsburgh, PA 15233",40.4589787,-80.0278065,,0,0
ChIJC2lwoS73NIgRD03ZeaPgShI,Steel Mill Saloon,OPERATIONAL,"1225 Grandview Ave, Pittsburgh, PA 15211",40.4381327,-80.0192792,,4.3,133
ChIJbdz5ZEv1NIgRB59fHPt9DgA,Martorano's Prime,OPERATIONAL,"777 Casino Dr, Pittsburgh, PA 15212",40.4476994,-80.0225767,,3.3,71
ChIJkzZRclbxNIgRVOheuNrywO8,Cafe Milano,OPERATIONAL,"134 6th St, Pittsburgh, PA 15222",40.44313229999999,-80.0024682,1,4.3,617
ChIJPz5dmKX2NIgRgcESndEXxLQ,Monterey Bay Fish Grotto,OPERATIONAL,"1411 Grandview Ave, Pittsburgh, PA 15211",40.4386441,-80.0213101,4,4.7,1858
ChIJVwULpK_2NIgRV-6i71ZRc8o,Vue 412,OPERATIONAL,"1200 Grandview Ave, Pittsburgh, PA 15211",40.43789200000001,-80.0182358,2,4.1,742
ChIJI2q7FAL0NIgRUoBKaGaPw3A,Quaker Steak & Lube,OPERATIONAL,"Great Hall Area, 100 Art Rooney Avenue Sec. 109 & Sec. 136 Stadium, Pittsburgh, PA 15212",40.4467648,-80.0157603,2,3.5,25
ChIJJZ51f1bxNIgRI-T-G9szLw8,Noodles and Company,OPERATIONAL,"476 McMasters Way, Pittsburgh, PA 15222",40.4408965,-80.0017402,1,4.2,591
ChIJMUHgoa_2NIgREmd-xXtHlwU,The Grandview Saloon,OPERATIONAL,"1212 Grandview Ave, Pittsburgh, PA 15211",40.4381429,-80.0185374,2,3.9,565
ChIJL9Eeh873NIgR2hDDPRrp9eQ,McIntosh Eatery,OPERATIONAL,"410 Greentree Rd, Pittsburgh, PA 15220",40.4357204,-80.0339726,,0,0
ChIJT3VNbcL2NIgRJhpHdjLRND0,Pittsburgh Barbecue Company,OPERATIONAL,"1000 Banksville Ave, Pittsburgh, PA 15216",40.4203608,-80.0306725,2,4.3,266
ChIJT1r2IFj3NIgRrJ8iwasf9HE,Beto's Pizza,OPERATIONAL,"1473 Banksville Rd, Pittsburgh, PA 15216",40.4127068,-80.030394,1,4.5,2449
ChIJ9xkce932NIgRSiyVq84hrKY,Arby's,OPERATIONAL,"1378 Banksville Rd, Pittsburgh, PA 15216",40.414676,-80.030613,1,3.9,574
ChIJuWIkXnf3NIgRTkga-T2a3OU,La Cocina de Betty,OPERATIONAL,"1605 Broadway Ave, Pittsburgh, PA 15216",40.4103834,-80.0244752,,4.4,150
ChIJUTCorzr3NIgRufBFZYqcUZU,Las Palmas Tacos,OPERATIONAL,"1616 Broadway Ave, Pittsburgh, PA 15216",40.4100882,-80.0248407,,4.5,102
ChIJi3B3Jdn2NIgRIBfXm2xDBdU,The Huddle,OPERATIONAL,"1648 Broadway Ave, Pittsburgh, PA 15216",40.4091417,-80.0248254,1,4.5,231
ChIJ4122GCj3NIgR4EygOp9VQyw,Fiori's Pizzaria,OPERATIONAL,"103 Capital Ave, Pittsburgh, PA 15226",40.40517880000001,-80.0185903,1,4.7,3038
